,open_time,exit_time,direction,holding_time,returns,open_time_stamp,exit_time_stamp
27873,56441,56443.0,1.0,2.0,-0.0008962507446300904,2022-10-18 14:02:00,2022-10-18 14:04:00
27874,56443,56445.0,-1.0,2.0,0.0008638161273373444,2022-10-18 14:04:00,2022-10-18 14:06:00
27875,56445,56447.0,1.0,2.0,0.0,2022-10-18 14:06:00,2022-10-18 14:08:00
27876,56447,56448.0,-1.0,1.0,-0.000664540162680109,2022-10-18 14:08:00,2022-10-18 14:09:00
27877,56448,56452.0,1.0,4.0,0.00043171441102237914,2022-10-18 14:09:00,2022-10-18 14:13:00
27878,56452,56453.0,-1.0,1.0,0.000132815353650164,2022-10-18 14:13:00,2022-10-18 14:14:00
27879,56453,56455.0,1.0,2.0,0.0011615366775101384,2022-10-18 14:14:00,2022-10-18 14:16:00
27880,56455,56458.0,-1.0,3.0,0.0011615366775103602,2022-10-18 14:16:00,2022-10-18 14:19:00
27881,56458,56460.0,1.0,2.0,-0.0001660440020418517,2022-10-18 14:19:00,2022-10-18 14:21:00
27882,56460,56462.0,-1.0,2.0,-0.0007967598854544788,2022-10-18 14:21:00,2022-10-18 14:23:00
27883,56462,56464.0,1.0,2.0,-0.0008299719945922777,2022-10-18 14:23:00,2022-10-18 14:25:00
27884,56464,56465.0,-1.0,1.0,-0.0004980658546009146,2022-10-18 14:25:00,2022-10-18 14:26:00
27885,56465,56466.0,1.0,1.0,0.00023234586445902385,2022-10-18 14:26:00,2022-10-18 14:27:00
27886,56466,56468.0,-1.0,2.0,3.3188961354724534e-05,2022-10-18 14:27:00,2022-10-18 14:29:00
27887,56468,56471.0,1.0,3.0,0.0007630675685026486,2022-10-18 14:29:00,2022-10-18 14:32:00
27888,56471,56474.0,-1.0,3.0,-0.00039789118201250586,2022-10-18 14:32:00,2022-10-18 14:35:00
27889,56474,56477.0,1.0,3.0,-0.0007295881467098336,2022-10-18 14:35:00,2022-10-18 14:38:00
27890,56477,56478.0,-1.0,1.0,0.000530944097423833,2022-10-18 14:38:00,2022-10-18 14:39:00
27891,56478,56479.0,1.0,1.0,0.0009289672543584869,2022-10-18 14:39:00,2022-10-18 14:40:00
27892,56480,56483.0,1.0,3.0,0.00046414482151435545,2022-10-18 14:41:00,2022-10-18 14:44:00
27893,56483,56486.0,-1.0,3.0,0.00026519923247671716,2022-10-18 14:44:00,2022-10-18 14:47:00
27894,56486,56487.0,1.0,1.0,9.945795423160479e-05,2022-10-18 14:47:00,2022-10-18 14:48:00
27895,56487,56489.0,-1.0,2.0,-0.00023203009865910298,2022-10-18 14:48:00,2022-10-18 14:50:00
27896,56489,56491.0,1.0,2.0,0.00019884010007536015,2022-10-18 14:50:00,2022-10-18 14:52:00
27897,56491,56493.0,-1.0,2.0,0.000762435188509645,2022-10-18 14:52:00,2022-10-18 14:54:00
27898,56494,56495.0,1.0,1.0,-9.948104065385286e-05,2022-10-18 14:55:00,2022-10-18 14:56:00
27899,56495,56499.0,-1.0,4.0,0.0006966445238534827,2022-10-18 14:56:00,2022-10-18 15:00:00
27900,56500,56502.0,1.0,2.0,-0.0012620393571464987,2022-10-19 09:30:00,2022-10-19 09:32:00
27901,56502,56503.0,-1.0,1.0,-0.00086367265533415,2022-10-19 09:32:00,2022-10-19 09:33:00
27902,56503,56504.0,1.0,1.0,-3.320438962333715e-05,2022-10-19 09:33:00,2022-10-19 09:34:00
27903,56504,56507.0,-1.0,3.0,-0.0005643247340588421,2022-10-19 09:34:00,2022-10-19 09:37:00
27904,56507,56510.0,1.0,3.0,0.0018235777006874667,2022-10-19 09:37:00,2022-10-19 09:40:00
27905,56510,56513.0,-1.0,3.0,0.0007290320765619121,2022-10-19 09:40:00,2022-10-19 09:43:00
27906,56513,56514.0,1.0,1.0,-0.00046420638122601234,2022-10-19 09:43:00,2022-10-19 09:44:00
27907,56514,56517.0,-1.0,3.0,-6.63283918925133e-05,2022-10-19 09:44:00,2022-10-19 09:47:00
27908,56517,56518.0,1.0,1.0,0.0010937837718962603,2022-10-19 09:47:00,2022-10-19 09:48:00
27909,56518,56524.0,-1.0,6.0,0.0013259523936918918,2022-10-19 09:48:00,2022-10-19 09:54:00
27910,56524,56526.0,1.0,2.0,-0.0015270219405972409,2022-10-19 09:54:00,2022-10-19 09:56:00
27911,56526,56529.0,-1.0,3.0,0.0012632140500325728,2022-10-19 09:56:00,2022-10-19 09:59:00
27912,56530,56531.0,1.0,1.0,0.0007647929612809689,2022-10-19 10:00:00,2022-10-19 10:01:00
27913,56531,56532.0,-1.0,1.0,0.0004322024104380592,2022-10-19 10:01:00,2022-10-19 10:02:00
27914,56532,56534.0,1.0,2.0,0.0008974423497085457,2022-10-19 10:02:00,2022-10-19 10:04:00
27915,56534,56535.0,-1.0,1.0,0.0007311885462698088,2022-10-19 10:04:00,2022-10-19 10:05:00
27916,56535,56536.0,1.0,1.0,0.0014286428663772316,2022-10-19 10:05:00,2022-10-19 10:06:00
27917,56536,56537.0,-1.0,1.0,-0.00043151379024196997,2022-10-19 10:06:00,2022-10-19 10:07:00
27918,56537,56538.0,1.0,1.0,0.0,2022-10-19 10:07:00,2022-10-19 10:08:00
27919,56538,56539.0,-1.0,1.0,0.0008299995496492627,2022-10-19 10:08:00,2022-10-19 10:09:00
